thomas_name,first_name,last_name,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,les
"Adams, Alma",Alma,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aderholt, Robert",Robert,Aderholt,2,2,2,0,0,3,0,0,0,0,0,0,0,0,0.908495426
"Alexander, Rodney",Rodney,Alexander,1,1,1,0,0,5,0,0,0,0,0,0,0,0,0.507558048
"Amash, Justin",Justin,Amash,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.091389112
"Amodei, Mark",Mark,Amodei,0,0,0,0,0,17,11,7,4,1,0,0,0,0,3.128457308
"Andrews, Robert",Robert,Andrews,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0.091389112
"Bachmann, Michele",Michele,Bachmann,2,0,1,1,0,8,0,0,0,0,1,1,1,1,0.836119056
"Bachus, Spencer",Spencer,Bachus,1,1,1,0,0,4,2,2,1,0,0,0,0,0,1.038942099
"Barber, Ron",Ron,Barber,1,0,0,0,0,11,1,0,0,0,2,0,0,0,0.306935996
"Barletta, Lou",Lou,Barletta,1,1,1,1,1,11,2,2,1,0,0,0,0,0,2.381305218
"Barr, Andy",Andy,Barr,0,0,0,0,0,15,3,4,3,0,0,0,0,0,1.364548564
"Barrow, John",John,Barrow,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.182778224
"Barton, Joe",Joe,Barton,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.076157592
"Bass, Karen",Karen,Bass,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0.426091492
"Beatty, Joyce",Joyce,Beatty,0,0,0,0,0,11,0,1,1,0,1,0,0,0,0.413906276
"Becerra, Xavier",Xavier,Becerra,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.030463038
"Benishek, Dan",Dan,Benishek,0,0,0,0,0,14,5,4,2,1,1,1,1,1,2.048213482
"Bentivolio, Kerry",Kerry,Bentivolio,0,0,0,0,0,13,1,1,1,0,0,0,0,0,0.544156671
"Bera, Ami",Ami,Bera,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.076157592
"Bilirakis, Gus",Gus,Bilirakis,0,0,0,0,0,25,4,3,2,0,0,0,0,0,1.376384139
"Bishop, Timothy",Timothy,Bishop,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0.280259937
"Bishop, Sanford",Sanford,Bishop,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.045694556
"Bishop, Rob",Rob,Bishop,0,0,0,0,0,15,11,9,3,1,0,0,0,0,3.147586107
"Black, Diane",Diane,Black,1,0,1,1,1,26,2,2,1,0,0,0,0,0,2.404110909
"Blackburn, Marsha",Marsha,Blackburn,1,0,1,1,0,27,0,0,0,0,0,0,0,0,0.928340614
"Blumenauer, Earl",Earl,Blumenauer,1,0,1,1,1,22,1,2,2,2,0,0,0,0,3.330415487
"Boehner, John",John,Boehner,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.030463038
"Bonamici, Suzanne",Suzanne,Bonamici,0,0,0,0,0,13,2,3,1,0,0,0,0,0,0.84226042
"Bonner, Jo",Jo,Bonner,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.030463038
"Bordallo, Madeleine",Madeleine,Bordallo,0,0,0,0,0,8,4,4,0,0,0,0,0,0,0.923726976
"Boustany, Charles",Charles,Boustany,0,0,0,0,0,22,1,4,3,0,0,0,0,0,1.265501976
"Brady, Robert",Robert,Brady,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0.063972384
"Brady, Kevin",Kevin,Brady,1,1,1,1,0,15,0,0,0,0,0,0,0,0,0.951229632
"Braley, Bruce",Bruce,Braley,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0.441714048
"Brat, Dave",Dave,Brat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bridenstine, Jim",Jim,Bridenstine,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0.407072991
"Brooks, Mo",Mo,Brooks,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0.307089329
"Brooks, Susan",Susan,Brooks,0,0,0,0,0,6,1,2,2,1,0,0,0,0,1.153042436
"Broun, Paul",Paul,Broun,1,1,1,1,0,12,0,1,1,0,0,0,0,0,1.148848414
"Brown, Corrine",Corrine,Brown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.015231519
"Brownley, Julia",Julia,Brownley,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0.346537948
"Buchanan, Vern",Vern,Buchanan,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.106620632
"Bucshon, Larry",Larry,Bucshon,0,0,0,0,0,11,2,4,3,1,0,0,0,0,1.672981977
"Burgess, Michael",Michael,Burgess,2,1,2,1,0,29,2,2,2,1,0,0,0,0,2.554691076
"Bustos, Cheri",Cheri,Bustos,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0.140129969
"Butterfield, G.",G.,Butterfield,0,0,0,0,0,8,1,1,1,1,1,1,1,1,1.012467861
"Byrne, Bradley",Bradley,Byrne,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.030463038
"Calvert, Ken",Ken,Calvert,1,1,1,0,0,12,3,2,2,1,0,0,0,0,1.881499171
"Camp, Dave",Dave,Camp,5,2,4,4,3,14,1,6,5,2,0,0,0,0,7.917976856
"Campbell, John",John,Campbell,0,0,0,0,0,4,2,1,1,1,0,0,0,0,0.982099712
"Cantor, Eric",Eric,Cantor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capito, Shelley",Shelley,Capito,0,0,0,0,0,14,3,4,1,0,0,0,0,0,1.057960629
"Capps, Lois",Lois,Capps,1,1,1,0,0,25,2,2,2,0,1,0,1,1,1.650629759
"Capuano, Michael",Michael,Capuano,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0.335093409
"Cardenas, Tony",Tony,Cardenas,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0.261982143
"Carney, John",John,Carney,1,0,1,1,0,15,0,0,0,0,0,0,0,0,0.745562375
"Carson, Andre",Andre,Carson,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0.201056048
"Carter, John",John,Carter,2,2,2,1,0,7,0,0,0,0,0,0,0,0,1.26077795
"Cartwright, Matt",Matt,Cartwright,0,0,0,0,0,52,1,1,1,0,0,0,0,0,1.138185859
"Cassidy, Bill",Bill,Cassidy,0,0,0,0,0,27,3,4,4,1,0,0,0,0,2.165198088
"Castor, Kathy",Kathy,Castor,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.121852152
"Castro, Joaquin",Joaquin,Castro,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.121852152
"Chabot, Steve",Steve,Chabot,0,0,0,0,0,14,5,5,4,1,0,0,0,0,2.270490646
"Chaffetz, Jason",Jason,Chaffetz,0,0,0,0,0,27,9,8,5,3,0,0,0,0,4.262804508
"Christensen, Donna",Donna,Christensen,1,1,1,1,1,12,1,2,1,0,1,0,0,0,2.296749592
"Chu, Judy",Judy,Chu,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.137083665
"Cicilline, David",David,Cicilline,0,0,0,0,0,16,2,2,0,0,1,0,0,0,0.647688031
"Clark, Katherine",Katherine,Clark,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.045694556
"Clarke, Yvette",Yvette,Clarke,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0.422304511
"Clawson, Curt",Curt,Clawson,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0.230931744
"Clay, Wm.",Wm.,Clay,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0.291857809
"Cleaver, Emanuel",Emanuel,Cleaver,0,0,0,0,0,5,1,1,0,0,2,0,0,0,0.282718897
"Clyburn, James",James,Clyburn,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.030463038
"Coble, Howard",Howard,Coble,1,0,1,1,1,5,3,2,1,1,0,0,0,0,2.65927577
"Coffman, Mike",Mike,Coffman,1,0,1,1,1,18,6,5,4,2,0,0,0,0,4.367919445
"Cohen, Steve",Steve,Cohen,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0.533103168
"Cole, Tom",Tom,Cole,1,1,1,1,0,9,2,2,0,0,0,0,0,0,1.26077795
"Collins, Doug",Doug,Collins,0,0,0,0,0,13,2,2,1,0,0,0,0,0,0.74462539
"Collins, Chris",Chris,Collins,0,0,0,0,0,6,1,1,0,0,1,1,1,1,0.458572119
"Conaway, K.",K.,Conaway,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0.246163264
"Connolly, Gerald",Gerald,Connolly,0,0,0,0,0,24,1,1,0,0,1,1,1,1,0.732739449
"Conyers, John",John,Conyers,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0.502640128
"Cook, Paul",Paul,Cook,0,0,0,0,0,12,4,2,1,0,1,1,1,1,1.101775408
"Cooper, Jim",Jim,Cooper,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.106620632
"Costa, Jim",Jim,Costa,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0.239917308
"Cotton, Tom",Tom,Cotton,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0.124898456
"Courtney, Joe",Joe,Courtney,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0.124898456
"Cramer, Kevin",Kevin,Cramer,0,0,0,0,0,4,3,2,1,1,0,0,0,0,1.182568431
"Crawford, Eric",Eric,Crawford,0,0,0,0,0,16,4,2,2,0,1,0,0,0,1.144711733
"Crenshaw, Ander",Ander,Crenshaw,3,3,3,2,0,2,0,0,0,0,0,0,0,0,1.907377243
"Crowley, Joseph",Joseph,Crowley,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0.213241264
"Cuellar, Henry",Henry,Cuellar,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0.391841471
"Culberson, John",John,Culberson,2,2,2,2,0,7,0,0,0,0,0,0,0,0,1.552134395
"Cummings, Elijah",Elijah,Cummings,1,0,0,0,0,15,4,3,2,2,0,0,0,0,2.198918104
"Daines, Steve",Steve,Daines,0,0,0,0,0,21,8,6,3,0,1,0,0,0,2.168422222
"Davis, Danny",Danny,Davis,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.106620632
"Davis, Rodney",Rodney,Davis,0,0,0,0,0,11,0,1,1,0,3,1,2,2,0.726768136
"Davis, Susan",Susan,Davis,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0.322908193
"DeFazio, Peter",Peter,DeFazio,0,0,0,0,0,26,3,1,1,0,0,0,0,0,0.947833657
"DeGette, Diana",Diana,DeGette,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.182778224
"DeLauro, Rosa",Rosa,DeLauro,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0.563566208
"DeSantis, Ron",Ron,DeSantis,1,0,1,1,0,8,2,2,1,0,0,0,0,0,1.185557365
"DelBene, Suzan",Suzan,DelBene,0,0,0,0,0,11,2,2,0,0,0,0,0,0,0.568484128
"Delaney, John",John,Delaney,1,0,0,0,0,7,1,1,1,0,0,0,0,0,0.483230591
"Denham, Jeff",Jeff,Denham,0,0,0,0,0,15,3,3,3,2,0,0,0,0,2.211299658
"Dent, Charles",Charles,Dent,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0.239917308
"DesJarlais, Scott",Scott,DesJarlais,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.060926076
"Deutch, Theodore",Theodore,Deutch,1,0,1,1,1,13,0,0,0,0,0,0,0,0,1.659485459
"Diaz-Balart, Mario",Mario,Diaz-Balart,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.030463038
"Dingell, John",John,Dingell,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.030463038
"Doggett, Lloyd",Lloyd,Doggett,0,0,0,0,0,12,1,1,1,0,0,0,0,0,0.528925121
"Doyle, Michael",Michael,Doyle,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0.133201763
